Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FJI,22.51396087,17.26988717,27.48774172,24.34432668,15.5672514,16.68167653,2.69007163,6.085537921,8.427305123,14.55764357,14.08631416,15.79781876,15.83008092,17.95864226,15.09320052,18.94081821,17.55699677,14.75846734,12.59249148,5.982873938,1.637937382,3.881546801,11.98274104,
FRA,23.83860095,23.94047626,22.75238757,22.23834622,22.55243437,22.46406939,23.3077574,23.74871742,23.44096293,20.97193358,21.08611951,22.11534336,21.45571394,21.38982183,21.48894054,22.25486926,22.00607565,22.75294457,23.15691984,23.76960098,20.84788485,23.56927167,22.63826381,23.01126419
FRO,40.45600542,39.27687352,33.94299262,28.51321299,25.48926901,16.11373274,25.22470548,28.45923758,21.24359245,11.95573113,23.34449041,28.77590581,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,
GAB,41.65710093,33.84013864,34.74738245,32.72843199,32.12160569,44.62805482,,40.06153531,44.39139999,34.47758065,41.15857227,43.76117975,43.89029698,40.30591235,42.38661737,38.37799673,,,,,,,,
GBR,16.5886991,16.52402166,16.38114171,16.11861129,15.47238442,15.99363845,15.26580643,14.91606514,13.70899793,11.90258303,13.41000244,14.30247817,12.91490291,11.91359585,12.70095605,12.92407202,12.48456825,14.9906367,14.25387513,15.68814831,14.70385278,17.45913638,16.72269683,15.39234257
GEO,10.34174601,18.60340057,19.07470678,16.35351713,20.95744793,19.05730828,11.58868851,11.0122191,2.934098502,0.657004117,11.28523202,11.21352204,14.88418755,16.24768804,15.72504309,15.23287628,16.70391316,17.21953042,21.32056811,21.24735923,12.09325582,10.41570963,19.59418111,22.64878818
GHA,15.26586234,21.0927221,18.75432273,21.15628822,22.87169148,19.20731052,17.41153629,6.743782057,4.34097387,11.03620336,4.870860829,3.881762078,5.267519185,15.19481326,18.23290547,21.10305209,18.63519707,15.85963229,19.99788317,17.59063931,21.07551952,15.59446571,17.8298211,14.07304593
GIB,,,,,,,,,,,,,,,,,,,,,,,,
GIN,42.46462009,41.79610474,39.98731199,44.57447859,40.07661145,37.83742964,1.370038967,-3.683535253,4.270177717,-5.479269674,6.584895629,3.392748576,5.759062832,-7.779289243,-3.612141722,-7.384262067,-1.219425561,11.42341602,8.34352392,7.699052669,1.004911943,-0.56266086,1.166029901,
GMB,,,,9.793371901,6.049969244,3.581799192,11.7469235,9.251759547,0.321282014,5.307848639,-0.353209991,6.286636727,15.72186593,5.587754677,11.40974832,18.89235754,19.9129072,18.68342833,15.67623811,15.36195061,21.9281618,24.01912493,28.34897553,
GNB,,-5.270495183,11.93699476,18.93586852,13.52864128,6.220373126,-0.209687993,8.907013085,4.476204956,6.780165681,7.400777477,9.559943477,5.173455237,8.100116141,17.58774089,16.79016876,16.30681228,19.40674217,16.68213169,23.14738393,32.19664248,23.4195807,22.62154034,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,
GRC,18.10120496,18.52536677,16.87545143,18.10099156,17.52240863,15.5498073,15.35959589,12.73612861,10.1005153,5.928917281,7.369950612,4.661275196,7.852711355,10.48014868,10.8150648,10.68422082,10.56993671,9.673807539,9.720664629,10.1915846,6.674245908,9.828707039,10.24020979,11.75361655
GRD,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,
GTM,12.47922174,9.97522185,13.72008045,14.33735412,15.66799028,13.80210676,14.358039,14.45507455,11.6047357,12.79914147,11.64715901,11.1288429,11.55854326,11.59970462,11.77101546,13.57519221,14.82394456,14.78434296,14.66628963,16.67168994,18.53291728,19.03959298,17.91046822,19.25559152
GUM,,,,,,,,,,,,,,,,,,,,,,,,
GUY,9.592453449,6.715415642,6.677187403,11.17809854,19.28980192,17.47544731,,,,,,,,,,,,,,,,,,
HIC,24.11088178,23.12035254,22.27531504,22.03808669,22.78430309,23.20724125,24.0285212,23.60258751,22.07545779,19.85418268,21.23723305,22.09164234,22.52413705,22.48027903,23.03015488,23.15401953,22.71968532,23.37457997,23.67414826,23.79734532,22.91311952,24.21101281,24.02542628,
HKG,31.97805117,31.62559415,31.07340314,33.16580459,32.30578997,32.94088988,34.977612,34.41674449,36.02295722,31.73093327,30.89186581,29.70110514,26.7984115,25.54917171,25.21423123,24.85857891,25.46164178,26.65017878,25.73107777,24.04165242,25.97107679,28.61157306,25.41476491,24.9261692
HND,20.2223818,18.78844751,18.69379865,18.80906997,20.18416906,23.8846004,25.08064317,23.98679213,21.45480268,18.85922371,17.54721868,18.69870873,16.00902136,12.69741003,14.7115963,19.67533238,20.42579523,23.15288536,19.58050175,19.64903851,21.93966302,18.27401339,19.04994432,18.98154322
