Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BTN,2.800570184,2.692778294,2.587763295,2.485461063,2.392109191,2.03035344,1.486953387,1.233193031,1.18468503,1.144731276,1.117177172,1.101609833,1.089467832,1.068123041,1.019359843,0.93496965,0.868973711,0.84469272,0.787111572,0.701252584,0.655471789,0.642586173,0.637077531,0.633044533
BWA,2.07271158,2.00326856,1.866764357,1.752284555,1.748414293,1.797648126,1.878736231,1.964957164,2.030265265,2.054990607,2.060951632,2.005556961,1.920855669,1.90562697,1.925085368,1.962368912,2.02880249,2.079222514,2.042785101,1.950856348,1.850985764,1.636742755,1.604757743,1.698457309
CAF,2.800360479,2.251637515,2.208973428,2.417789982,2.169017181,2.25132803,2.011502123,1.873589755,2.07326328,2.154854097,2.071208345,1.532276959,0.868655129,0.608247677,-0.076949023,0.428340362,1.745175422,1.869860895,1.943058623,2.223361071,2.534093932,2.113637226,2.210795117,2.882707952
CAN,0.931281553,1.086199455,1.084793283,0.89922681,0.932186964,0.94708627,1.013559391,0.970654173,1.083871149,1.144707685,1.11135203,0.975407251,1.083746522,1.053380981,1.001422847,0.760300145,1.13153974,1.195435755,1.433226157,1.461712599,1.084368971,0.553902422,1.811922553,2.932274012
CEB,-0.562187469,-0.726416604,-0.650464177,-0.313747926,-0.274282096,-0.272548033,-0.254078786,-0.372245216,-0.357629035,-0.191813703,-0.3616663,-0.236933127,-0.229154984,-0.21320183,-0.209757193,-0.230243283,-0.255290913,-0.246809828,-0.196249608,-0.136450277,-0.213296993,-0.750602925,-1.286711743,0.048293716
CHE,0.561954617,0.632771238,0.756469146,0.741919603,0.68742596,0.64060154,0.627558473,0.893690978,1.270618074,1.249484631,1.041558058,1.111878943,1.061819329,1.149879758,1.220103973,1.138337152,1.092031174,0.933155889,0.736633975,0.713313668,0.730676195,0.765501039,0.814795736,0.840736043
CHI,0.341241968,0.506608257,0.766005021,0.794568118,0.803686358,0.815852624,0.807276439,0.812559761,0.812484158,0.803367356,0.775301817,0.562984407,0.506890227,0.736777668,0.697214601,0.79108558,0.93952721,0.90838964,1.229585322,1.277830313,1.000234462,0.913338674,0.805167545,0.725194564
CHL,1.149041725,1.115313048,1.087929636,1.047913202,0.996674256,0.977510012,0.979795956,0.980589313,1.00084679,1.026941208,1.009033756,0.991361115,0.974635116,0.964976309,1.006814959,1.029425554,1.189061026,1.562055456,1.795962799,1.791391972,1.360643634,0.994344898,0.565514128,0.131811439
CHN,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.546457595,0.678345459,0.666072978,0.63032639,0.581456147,0.573050906,0.605245013,0.467672053,0.35474089,0.23804087,0.0892522,-0.013099501,-0.103794532
CIV,2.738250905,2.619014096,2.510506715,2.416596903,2.33745599,2.267513716,2.209656136,2.160879884,2.130515475,2.117819076,2.116362419,2.075244713,2.055434934,2.061926495,2.315242748,2.580767289,2.580675808,2.586254296,2.566474934,2.531287446,2.508618203,2.45530301,2.452703201,2.498630168
CMR,2.636027267,2.626673877,2.679665976,2.72911509,2.744622068,2.733159813,2.719034339,2.780670968,2.836970901,2.846622005,2.851215315,2.831236735,2.814983782,2.813538396,3.03550757,3.147582249,2.992175416,2.833798095,2.763737638,2.774879781,2.711853658,2.635819406,2.598102588,2.591139679
COD,2.898841288,3.019465822,3.057000239,2.944051106,2.981056571,3.115461769,3.187171519,3.21553799,3.199743614,3.194246755,3.246880698,3.351793915,3.356656131,3.409144967,3.446016758,3.389391312,3.466034648,3.442766958,3.272827234,3.186288389,3.224478443,3.22252816,3.197835105,3.232305236
COG,3.816978872,3.759633072,2.340394425,2.768016142,3.397706012,3.598771966,3.753605499,3.681558763,3.313107969,4.017105924,4.155897222,3.244141245,2.776007776,2.406679692,2.390288208,2.388405079,2.388865755,2.391085234,2.394184625,2.355238072,2.332086251,2.316488253,2.28055585,2.259625656
COL,1.619831406,1.575532372,1.534866916,1.481131571,1.428170531,1.365652339,1.298865177,1.239967443,1.167873546,1.131541306,1.126884715,1.093583074,1.039665,0.990034781,0.947136923,0.941994067,1.068611891,1.512289606,1.895586751,1.830746942,1.470102032,1.143820916,0.691481571,0.406206101
COM,1.940427756,2.025520632,2.043100085,1.963085667,1.915137697,1.964390411,2.000332286,2.004230627,2.017288027,2.047772629,2.084145187,2.118630328,2.138239359,2.144674549,2.152692206,2.160064273,2.169616303,2.046896975,1.905027581,1.872447912,1.900940814,1.899440995,1.82699355,1.812052904
CPV,1.899871878,1.667843238,1.548814006,1.438786201,1.343599007,1.275070623,1.221540412,1.165597279,1.103975573,1.033563657,1.075189988,1.203180621,1.195244989,1.13168974,1.130013792,1.109056551,1.12160807,1.16795055,1.099860052,1.01513458,0.967524169,0.902988883,0.884624345,0.928494015
CRI,1.973588232,1.843308547,1.697749088,1.587932538,1.520865288,1.472527587,1.432842027,1.402737004,1.384553886,1.350393955,1.287389809,1.240026562,1.203580305,1.153271848,1.094945954,1.046343404,1.015470727,0.978713316,0.934615301,0.865128347,0.755771068,0.600406861,0.520031292,0.603176927
CSS,0.982670799,0.951498882,0.931452278,0.912996338,0.848176296,0.780936949,0.764292576,0.756731341,0.754835503,0.741200987,0.689560973,0.626941273,0.716914371,0.801158548,0.814982481,0.819460663,0.783405949,0.781893375,1.374206032,1.055162901,0.511620924,0.719017058,0.592548743,0.657153652
CUB,0.321944588,0.299718119,0.277231369,0.260768627,0.232575968,0.185302193,0.128992466,0.082172997,0.059627893,0.058298406,0.064074845,0.073424709,0.093595194,0.108603883,0.092232567,0.069407446,0.018675679,-0.049447897,-0.072015237,-0.101983052,-0.141475202,-0.393012542,-0.393269983,-0.158363804
CUW,-4.075386132,-3.661779858,0.12236112,2.062102467,1.725029528,2.550073807,2.568114257,1.974862198,1.258225307,0.651152062,1.265514155,1.420897663,0.829929595,1.133678907,1.347641396,1.319593903,1.060316441,0.319536038,-0.525178744,-1.196439518,-1.596766195,-1.677791247,-1.569658341,-1.432922073
CYM,3.497335382,3.459558012,3.357997223,3.258009606,3.194959237,3.132422211,3.055957268,3.005623696,2.929652809,2.851964804,2.7599337,2.588538738,2.435324,2.349941283,2.287589883,2.24463645,2.182507103,2.107583017,2.028637661,1.908192659,1.764068377,1.218203729,0.833082382,0.875266427
CYP,1.7700933,1.734744901,1.783692483,1.83163729,1.816165943,1.788011711,1.756413134,1.731589291,1.709621686,1.686915162,1.670260996,1.354002535,0.996688012,0.896230871,0.855564799,0.870039642,0.888918593,0.88447903,0.849324982,0.81751772,0.705573415,0.53599943,0.585013505,0.688799543
CZE,-0.280414108,-0.375719704,-0.192901618,-0.028620591,0.030434848,0.13832598,0.270795629,0.583542205,0.829412603,0.569729451,0.291361674,0.206747667,0.139925656,0.033169946,0.105277582,0.196588748,0.192048416,0.265642664,0.334427262,0.393788864,0.243222682,-1.81187141,1.570972567,1.87114719
DEU,0.1354316,0.168225361,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,0.807218539,0.37372456,0.300526702,0.225519874,0.081693159,0.042327057,0.720875456,0.81326925
DJI,3.101649749,3.112243508,3.041365393,2.166373252,1.472468479,1.514428962,1.917560639,2.131795196,2.024001609,2.042348155,1.988307013,1.897891568,1.849338944,1.812671319,1.768063846,1.721247739,1.675509258,1.645014013,1.617728543,1.576239752,1.493639579,1.40284751,1.373715349,1.382733442
DMA,-0.513704758,-0.282786143,0.159806507,0.263342849,0.192678287,0.145721639,0.09896956,0.047994067,0.010177599,0.00726908,-0.046531242,-0.018909504,0.212163125,-0.100212779,0.798904314,0.91263243,0.097086,0.466977884,0.594793081,0.850614263,0.790672283,0.577535935,0.447816441,0.415704036
DNK,0.334233619,0.358315679,0.319487125,0.272010444,0.258432282,0.275481733,0.328645159,0.443466054,0.58754759,0.535079062,0.444197155,0.411737855,0.376272243,0.416901361,0.507053283,0.70642385,0.780392644,0.643350904,0.495838926,0.358130916,0.291641177,0.433414489,0.787502465,0.741185516
